1,il,the
2,essere,be
3,e,and
4,di,of
5,un,a
6,in,in
7,a,to
8,avere,have
9,esso,it
10,io,I
11,che,that
12,per,for
13,voi,you
14,lui,he
15,con,with
16,su,on
17,fare,do
18,dire,say
19,questo,this
20,essi,they
21,a,at
22,ma,but
23,noi,we
24,la sua,his
25,da,from
26,non,not
27,da,by
28,lei,she
29,o,or
30,come,as
31,cosa,what
32,andare,go
33,loro,their
34,che,who
35,ottenere,get
36,se,if
37,sarebbe,would
38,lei,her
39,tutto,all
40,il mio,my
41,rendere,make
42,circa,about
43,sapere,know
44,volontà,will
45,su,up
46,uno,one
47,potere,can
48,tempo,time
49,ci,there
50,anno,year
51,così,so
52,pensare,think
53,quando,when
54,che,which
55,loro,them
56,alcuni,some
57,me,me
58,persone,people
59,prendere,take
60,fuori,out
61,in,into
62,solo,just
63,vedere,see
64,lui,him
65,il vostro,your
66,venire,come
67,potuto,could
68,ora,now
69,di,than
70,come,like
71,altro,other
72,come,how
73,allora,then
74,la sua,its
75,il nostro,our
76,due,two
77,di più,more
78,queste,these
79,desiderare,want
80,modo,way
81,guardare,look
82,primo,first
83,anche,also
84,nuovo,new
85,perché,because
86,giorno,day
87,utilizzare,use
88,no,no
89,uomo,man
90,trovare,find
91,qui,here
92,cosa,thing
93,dare,give
94,molti,many
95,bene,well
96,solo,only
97,quelli,those
98,raccontare,tell
99,uno,one
100,molto,very
101,lei,her
102,anche,even
103,indietro,back
104,qualsiasi,any
105,buono,good
106,donna,woman
107,attraverso,through
108,noi,us
109,vita,life
110,bambino,child
111,ci,there
112,lavoro,work
113,giù,down
114,può,may
115,dopo,after
116,dovrebbe,should
117,chiamata,call
118,mondo,world
119,oltre,over
120,scuola,school
121,ancora,still
122,provare,try
123,in,in
124,come,as
125,ultimo,last
126,chiedere,ask
127,bisogno,need
128,troppo,too
129,sentire,feel
130,tre,three
131,quando,when
132,stato,state
133,mai,never
134,diventare,become
135,fra,between
136,alto,high
137,davvero,really
138,qualcosa,something
139,più,most
140,un altro,another
141,molto,much
142,famiglia,family
143,proprio,own
144,fuori,out
145,lasciare,leave
146,mettere,put
147,vecchio,old
148,mentre,while
149,dire,mean
150,su,on
151,mantenere,keep
152,studente,student
153,perché,why
154,lasciare,let
155,grande,great
156,stesso,same
157,grande,big
158,gruppo,group
159,inizio,begin
160,sembrare,seem
161,paese,country
162,aiutare,help
163,Discussioni,talk
164,dove,where
165,turno,turn
166,problema,problem
167,ogni,every
168,inizio,start
169,mano,hand
170,forza,might
171,spettacolo,show
172,parte,part
173,circa,about
174,contro,against
175,luogo,place
176,oltre,over
177,tale,such
178,di nuovo,again
179,pochi,few
180,caso,case
181,più,most
182,settimana,week
183,azienda,company
184,sistema,system
185,ogni,each
186,diritto,right
187,programma,program
188,sentire,hear
189,così,so
190,domanda,question
191,durante,during
192,lavoro,work
193,giocare,play
